기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,4.8846553E7,3.896054E7,25.4
202302,4.6803474E7,4.181582E7,11.9
202303,5.6997493E7,5.092403E7,11.9
202304,4.8758787E7,4.4118207E7,10.5
202305,5.3506996E7,4.827017E7,10.8
202306,5.0799192E7,4.4982304E7,12.9
202307,5.5130334E7,4.5074172E7,22.3
202308,5.3860835E7,4.5105988E7,19.4
202309,5.654236E7,4.9034394E7,15.3
202310,5.5608368E7,5.0078486E7,11.0
202311,4.9313824E7,4.6652592E7,5.7
202312,5.1198168E7,4.576138E7,11.9
202401,4.9665494E7,4.6080706E7,7.8
202402,5.1071608E7,3.9137976E7,30.5
202403,5.8818284E7,4.8895206E7,20.3
202404,4.8147239E7,5.2298978E7,-7.9
202405,5.432812E7,5.3124978E7,2.3
202406,5.0334725E7,4.8851086E7,3.0
