기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,5699004.0,4092193.0,39.3
202302,4753595.0,4255702.0,11.7
202303,6137498.0,5220736.0,17.6
202304,4883260.0,4299554.0,13.6
202305,5579196.0,4652966.0,19.9
202306,5254522.0,4281182.0,22.7
202307,5634500.0,4757102.0,18.4
202308,5536346.0,4574930.0,21.0
202309,6057485.0,5174897.0,17.1
202310,5858604.0,5270066.0,11.2
202311,5112068.0,4916513.0,4.0
202312,5751242.0,4735213.0,21.5
202401,5324910.0,5038960.0,5.7
202402,5863064.0,4094433.0,43.2
202403,6381004.0,5015115.0,27.2
202404,5025839.0,4424724.0,13.6
202405,5696786.0,4790734.0,18.9
202406,5047304.0,5413726.0,-6.8
