기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,9140509.0,6444123.0,41.8
202302,7667681.0,7142832.0,7.4
202303,9281352.0,8140198.0,14.0
202304,7756126.0,6832410.0,13.5
202305,8309998.0,7490374.0,10.9
202306,7660860.0,6551038.0,16.9
202307,8671880.0,7286870.0,19.0
202308,8535950.0,7115199.0,20.0
202309,9472172.0,8100379.0,16.9
202310,8771756.0,7604842.0,15.3
202311,8178992.0,7358312.0,11.2
202312,9167680.0,7584812.0,20.9
202401,8261712.0,7872214.0,5.0
202402,9364201.0,6499434.0,44.1
202403,9740986.0,7580937.0,28.5
202404,8089812.0,7043701.0,14.8
202405,8712046.0,7745658.0,12.5
202406,8480174.0,8342306.0,1.6
