기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.316168E7,8749570.0,50.4
202302,1.1221777E7,1.0115679E7,10.9
202303,1.3128549E7,1.1716691E7,12.0
202304,1.1330249E7,9099500.0,24.5
202305,1.2296326E7,1.0615448E7,15.8
202306,1.1523799E7,9893394.0,16.5
202307,1.2601932E7,1.0355972E7,21.7
202308,1.3071261E7,9714856.0,34.6
202309,1.3391634E7,1.1099624E7,20.6
202310,1.230027E7,1.095228E7,12.3
202311,1.1317982E7,1.0487578E7,7.9
202312,1.2699096E7,1.0860272E7,16.9
202401,1.2205134E7,1.1368994E7,7.4
202402,1.3042704E7,9877186.0,32.0
202403,1.3459148E7,1.1363376E7,18.4
202404,1.0744188E7,1.006747E7,6.7
202405,1.2526098E7,1.1842218E7,5.8
202406,1.1750655E7,1.1178738E7,5.1
