기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,4.7059016E7,3.5471954E7,32.7
202302,4.691771E7,3.7521838E7,25.0
202303,5.4703464E7,4.669988E7,17.1
202304,4.4422917E7,3.8039834E7,16.8
202305,4.8890608E7,4.1247518E7,18.5
202306,4.7057941E7,4.0567944E7,16.0
202307,4.9356132E7,3.7207586E7,32.6
202308,4.8280838E7,3.7433896E7,29.0
202309,5.0867548E7,4.0996662E7,24.1
202310,4.9880316E7,4.3545894E7,14.6
202311,4.835725E7,4.4705472E7,8.2
202312,5.1472754E7,4.2443996E7,21.3
202401,4.9815776E7,4.2687078E7,16.7
202402,4.6996436E7,3.6369476E7,29.2
202403,5.8118126E7,4.5396211E7,28.0
202404,4.4897276E7,4.7372241E7,-5.2
202405,4.9137014E7,4.8937928E7,0.4
202406,4.7087534E7,4.5081498E7,4.4
