기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,4227856.0,3159408.0,33.8
202302,3567974.0,3332346.0,7.1
202303,4297657.0,3881640.0,10.7
202304,3728946.0,3178290.0,17.3
202305,4282096.0,3397219.0,26.0
202306,3935680.0,3294207.0,19.5
202307,4207273.0,3665564.0,14.8
202308,4263844.0,3719037.0,14.6
202309,4400263.0,3871354.0,13.7
202310,4316970.0,3858267.0,11.9
202311,3833921.0,3630480.0,5.6
202312,3969553.0,3692266.0,7.5
202401,4080860.0,3862282.0,5.7
202402,4078756.0,3269906.0,24.7
202403,4381202.0,3832140.0,14.3
202404,3742526.0,3518260.0,6.4
202405,4200990.0,4070675.0,3.2
202406,4054438.0,3751818.0,8.1
