기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.407959E7,9594750.0,46.7
202302,1.3018884E7,1.0380874E7,25.4
202303,1.5411358E7,1.1998136E7,28.4
202304,1.3465466E7,1.067074E7,26.2
202305,1.5536388E7,1.1897788E7,30.6
202306,1.3956943E7,1.1255262E7,24.0
202307,1.5029458E7,1.1092154E7,35.5
202308,1.4945406E7,1.1266524E7,32.6
202309,1.5726382E7,1.2437638E7,26.4
202310,1.5355025E7,1.2355444E7,24.3
202311,1.363048E7,1.1359173E7,20.0
202312,1.4953648E7,1.1211067E7,33.4
202401,1.4453061E7,1.1538968E7,25.2
202402,1.4805326E7,9861299.0,50.1
202403,1.6074121E7,1.1605394E7,38.5
202404,1.3695605E7,1.3028172E7,5.1
202405,1.4948465E7,1.3286854E7,12.5
202406,1.4347988E7,1.2327273E7,16.4
