기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,8259524.0,5240900.0,57.6
202302,6544125.0,6392701.0,2.4
202303,8103039.0,6933574.0,16.9
202304,7583096.0,6152139.0,23.3
202305,8218654.0,7259158.0,13.2
202306,7425761.0,6341030.0,17.1
202307,7858092.0,7152834.0,9.9
202308,8794499.0,7806208.0,12.7
202309,9308901.0,8252055.0,12.8
202310,9104504.0,7837865.0,16.2
202311,7656243.0,7375284.0,3.8
202312,7195510.0,6400698.0,12.4
202401,6829340.0,7373170.0,-7.4
202402,8398047.0,5917492.0,41.9
202403,8434657.0,6616316.0,27.5
202404,7485709.0,6472326.0,15.7
202405,8443432.0,7307083.0,15.6
202406,7503909.0,7831708.0,-4.2
