기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,5372801.0,3090038.0,73.9
202302,4931644.0,3866670.0,27.5
202303,5266828.0,4788962.0,10.0
202304,5061833.0,5049282.0,0.2
202305,5146428.0,5319930.0,-3.3
202306,4972198.0,5171156.0,-3.8
202307,5186937.0,5643442.0,-8.1
202308,5761396.0,5213586.0,10.5
202309,4600320.0,4507808.0,2.0
202310,5378362.0,5768480.0,-6.8
202311,4494056.0,5587964.0,-19.6
202312,4456270.0,5276750.0,-15.6
202401,5006330.0,6021704.0,-16.9
202402,4484270.0,5053475.0,-11.3
202403,4980832.0,4804996.0,3.7
202404,4838876.0,5376738.0,-10.0
202405,4948328.0,5353484.0,-7.6
202406,4620595.0,5830584.0,-20.8
