기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.2629928E7,8811764.0,43.3
202302,1.1278113E7,1.0326004E7,9.2
202303,1.486009E7,1.2024418E7,23.6
202304,1.3524164E7,1.1461608E7,18.0
202305,1.4439698E7,1.2626621E7,14.4
202306,1.336187E7,1.150694E7,16.1
202307,1.3292548E7,1.2133824E7,9.6
202308,1.4769002E7,1.2830545E7,15.1
202309,1.618156E7,1.4008796E7,15.5
202310,1.5880568E7,1.3886954E7,14.4
202311,1.2601264E7,1.2122814E7,4.0
202312,1.1996369E7,1.08001E7,11.1
202401,1.15687E7,1.1582148E7,-0.1
202402,1.3151092E7,9813254.0,34.0
202403,1.5301636E7,1.2180794E7,25.6
202404,1.4047268E7,1.2778552E7,9.9
202405,1.4201551E7,1.4383915E7,-1.3
202406,1.3383122E7,1.3152013E7,1.8
