기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.3323723E7,1.6093592E7,-17.2
202408,1.7822672E7,1.7695688E7,0.7
202409,1.3037696E7,1.3292566E7,-1.9
202410,1.273671E7,1.5159102E7,-16.0
202411,1.0450898E7,1.1238766E7,-7.0
202412,1.0152044E7,1.0482426E7,-3.2
202501,1.2907489E7,1.259783E7,2.5
202502,9314914.0,1.1172693E7,-16.6
202503,1.1053553E7,1.2137069E7,-8.9
202504,9577078.0,1.1124407E7,-13.9
202505,1.4326288E7,1.2463906E7,14.9
202506,1.2584078E7,1.225602E7,2.7
202507,1.502074E7,1.4632016E7,2.7
202508,1.8293898E7,1.7064232E7,7.2
202509,1.0976266E7,1.3470664E7,-18.5
202510,1.5613846E7,1.3862968E7,12.6
202511,1.0941196E7,9826512.0,11.3
202512,1.0625867E7,1.124054E7,-5.5
