기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.2951582E7,1.3922272E7,-7.0
202408,1.447047E7,1.4251111E7,1.5
202409,1.4499026E7,1.358141E7,6.8
202410,1.3456359E7,1.4014399E7,-4.0
202411,1.2554129E7,1.1906342E7,5.4
202412,1.207199E7,1.149009E7,5.1
202501,1.4223377E7,1.345338E7,5.7
202502,1.067688E7,1.0716444E7,-0.4
202503,1.4043614E7,1.3747083E7,2.2
202504,1.2217548E7,1.2409229E7,-1.5
202505,1.6480516E7,1.3463142E7,22.4
202506,1.3076816E7,1.2251466E7,6.7
202507,1.4177586E7,1.3185414E7,7.5
202508,1.5244355E7,1.391796E7,9.5
202509,1.2865738E7,1.4429852E7,-10.8
202510,1.7743358E7,1.4060358E7,26.2
202511,1.3336421E7,1.1783051E7,13.2
202512,1.2601638E7,1.1895552E7,5.9
