기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.4535829E7,1.9060265E7,-23.7
202408,1.632799E7,1.709058E7,-4.5
202409,1.7772055E7,1.6975298E7,4.7
202410,1.5215711E7,1.6661022E7,-8.7
202411,1.4450076E7,1.4021455E7,3.1
202412,1.290283E7,1.2950914E7,-0.4
202501,1.5681267E7,1.5381562E7,2.0
202502,1.1679854E7,1.2768598E7,-8.5
202503,1.5764598E7,1.5815412E7,-0.3
202504,1.3674644E7,1.4299614E7,-4.4
202505,1.7858897E7,1.5863477E7,12.6
202506,1.4884247E7,1.4257464E7,4.4
202507,1.5742506E7,1.4858112E7,6.0
202508,1.765791E7,1.6106328E7,9.6
202509,1.5235038E7,1.7545112E7,-13.2
202510,2.0209777E7,1.6335529E7,23.7
202511,1.5639757E7,1.357775E7,15.2
202512,1.3758563E7,1.3307158E7,3.4
