기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,6913697.0,6574540.0,5.2
202408,7173198.0,6363105.0,12.7
202409,7723916.0,7251888.0,6.5
202410,6889806.0,6649184.0,3.6
202411,6779322.0,6176208.0,9.8
202412,6898196.0,6403439.0,7.7
202501,7260614.0,6835395.0,6.2
202502,6460640.0,6167550.0,4.8
202503,8171160.0,7722176.0,5.8
202504,6651666.0,6231012.0,6.8
202505,8580282.0,6633008.0,29.4
202506,7276700.0,6603320.0,10.2
202507,7589477.0,6724263.0,12.9
202508,7848246.0,6901016.0,13.7
202509,7691190.0,7443037.0,3.3
202510,8235178.0,7162844.0,15.0
202511,7559122.0,6487950.0,16.5
202512,7623630.0,7097769.0,7.4
