기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,2270026.0,2296676.0,-1.2
202408,2345756.0,2212802.0,6.0
202409,2514942.0,2478486.0,1.5
202410,2371926.0,2395946.0,-1.0
202411,2242244.0,2185176.0,2.6
202412,2241348.0,2161842.0,3.7
202501,2328333.0,2244179.0,3.8
202502,2115362.0,2081051.0,1.6
202503,2696484.0,2690496.0,0.2
202504,2242636.0,2173804.0,3.2
202505,2863542.0,2314770.0,23.7
202506,2409796.0,2207464.0,9.2
202507,2489851.0,2183846.0,14.0
202508,2605267.0,2293084.0,13.6
202509,2557275.0,2455240.0,4.2
202510,2787890.0,2419014.0,15.2
202511,2528068.0,2105145.0,20.1
202512,2503879.0,2236952.0,11.9
