기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.0180947E7,1.5398016E7,-33.9
202408,1.181866E7,1.1887292E7,-0.6
202409,1.2067006E7,1.186388E7,1.7
202410,1.0604052E7,1.1735633E7,-9.6
202411,1.0038032E7,9998443.0,0.4
202412,9138115.0,8592804.0,6.4
202501,1.1220489E7,1.0612343E7,5.7
202502,7731437.0,8456077.0,-8.6
202503,1.1258317E7,1.1146737E7,1.0
202504,1.0244154E7,1.1018892E7,-7.0
202505,1.3199032E7,1.1478579E7,15.0
202506,1.0468944E7,1.0039306E7,4.3
202507,1.0972748E7,1.0443545E7,5.1
202508,1.2199166E7,1.1728479E7,4.0
202509,9819310.0,1.1959423E7,-17.9
202510,1.5113644E7,1.2467774E7,21.2
202511,1.0697522E7,9651887.0,10.8
202512,9769798.0,9424076.0,3.7
