기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,9286070.0,9831616.0,-5.6
202408,1.0499062E7,1.0016114E7,4.8
202409,1.0842552E7,1.0583706E7,2.4
202410,1.0330705E7,1.053648E7,-2.0
202411,9606597.0,9121178.0,5.3
202412,8188152.0,7625390.0,7.4
202501,9164071.0,8619737.0,6.3
202502,7716310.0,7548436.0,2.2
202503,1.0154876E7,1.0033978E7,1.2
202504,9296430.0,9069074.0,2.5
202505,1.170161E7,9818924.0,19.2
202506,9968746.0,9187822.0,8.5
202507,1.0399942E7,9476890.0,9.7
202508,1.1401537E7,1.0269494E7,11.0
202509,1.0605234E7,1.083235E7,-2.1
202510,1.256018E7,1.0737696E7,17.0
202511,1.0775572E7,8972064.0,20.1
202512,9047230.0,8197931.0,10.4
