기준년월,지역,방문자수,전년동월방문자수,방문자수증감률
202301,강원,12597830.0,7250050.0,73.8
202302,강원,11172693.0,8956532.0,24.7
202303,강원,12137069.0,8870246.0,36.8
202304,강원,11124407.0,9608966.0,15.8
202305,강원,12463906.0,11261408.0,10.7
202306,강원,12256020.0,10626220.0,15.3
202307,강원,14632016.0,13370077.0,9.4
202308,강원,17064232.0,14466599.0,18.0
202309,강원,13470664.0,12037798.0,11.9
202310,강원,13862968.0,12728950.0,8.9
202311,강원,9826512.0,10038665.0,-2.1
202312,강원,11240540.0,11006163.0,2.1
202401,강원,11012484.0,11933170.0,-7.7
202402,강원,11603196.0,9681742.0,19.8
202403,강원,11103208.0,10240909.0,8.4
202404,강원,10293034.0,11681436.0,-11.9
202405,강원,12363662.0,13157494.0,-6.0
202406,강원,12718976.0,12607371.0,0.9
202407,강원,13323723.0,16093592.0,-17.2
202408,강원,17822672.0,17695688.0,0.7
202409,강원,13037696.0,13292566.0,-1.9
202410,강원,12736710.0,15159102.0,-16.0
202411,강원,10450898.0,11238766.0,-7.0
202412,강원,10152044.0,10482426.0,-3.2
202501,강원,12907489.0,12597830.0,2.5
202502,강원,9314914.0,11172693.0,-16.6
202503,강원,11053553.0,12137069.0,-8.9
202504,강원,9577078.0,11124407.0,-13.9
202505,강원,14326288.0,12463906.0,14.9
202506,강원,12584078.0,12256020.0,2.7
202507,강원,15020740.0,14632016.0,2.7
202508,강원,18293898.0,17064232.0,7.2
202509,강원,10976266.0,13470664.0,-18.5
202510,강원,15613846.0,13862968.0,12.6
202511,강원,10941196.0,9826512.0,11.3
202512,강원,10625867.0,11240540.0,-5.5
202301,경기,48846553.0,38960540.0,25.4
202302,경기,46803474.0,41815820.0,11.9
202303,경기,56997493.0,50924030.0,11.9
202304,경기,48758787.0,44118207.0,10.5
202305,경기,53506996.0,48270170.0,10.8
202306,경기,50799192.0,44982304.0,12.9
202307,경기,55130334.0,45074172.0,22.3
202308,경기,53860835.0,45105988.0,19.4
202309,경기,56542360.0,49034394.0,15.3
202310,경기,55608368.0,50078486.0,11.0
202311,경기,49313824.0,46652592.0,5.7
202312,경기,51198168.0,45761380.0,11.9
202401,경기,49665494.0,46080706.0,7.8
202402,경기,51071608.0,39137976.0,30.5
202403,경기,58818284.0,48895206.0,20.3
202404,경기,48147239.0,52298978.0,-7.9
202405,경기,54328120.0,53124978.0,2.3
202406,경기,50334725.0,48851086.0,3.0
202407,경기,51902616.0,53632761.0,-3.2
202408,경기,53824900.0,52129088.0,3.2
202409,경기,53665812.0,54915374.0,-2.3
202410,경기,54792412.0,55480089.0,-1.2
202411,경기,49315980.0,49986769.0,-1.3
202412,경기,49570717.0,47868415.0,3.6
202501,경기,51400685.0,48846553.0,5.2
202502,경기,46151301.0,46803474.0,-1.4
202503,경기,58499192.0,56997493.0,2.6
202504,경기,48216364.0,48758787.0,-1.1
202505,경기,64063209.0,53506996.0,19.7
202506,경기,53838260.0,50799192.0,6.0
202507,경기,57472919.0,55130334.0,4.2
202508,경기,56973802.0,53860835.0,5.8
202509,경기,54202012.0,56542360.0,-4.1
202510,경기,60667824.0,55608368.0,9.1
202511,경기,54842274.0,49313824.0,11.2
202512,경기,53716334.0,51198168.0,4.9
202301,경남,13453380.0,9650466.0,39.4
202302,경남,10716444.0,10975874.0,-2.4
202303,경남,13747083.0,12046972.0,14.1
202304,경남,12409229.0,10733632.0,15.6
202305,경남,13463142.0,12268557.0,9.7
202306,경남,12251466.0,11063090.0,10.7
202307,경남,13185414.0,12215760.0,7.9
202308,경남,13917960.0,12497146.0,11.4
202309,경남,14429852.0,13200061.0,9.3
202310,경남,14060358.0,12799020.0,9.8
202311,경남,11783051.0,11603750.0,1.6
202312,경남,11895552.0,11157531.0,6.6
202401,경남,11814030.0,12246958.0,-3.5
202402,경남,13294386.0,10249638.0,29.7
202403,경남,13939258.0,11534068.0,20.8
202404,경남,12228500.0,11729704.0,4.2
202405,경남,13627922.0,13192053.0,3.3
202406,경남,12324452.0,11862896.0,3.9
202407,경남,12951582.0,13922272.0,-7.0
202408,경남,14470470.0,14251111.0,1.5
202409,경남,14499026.0,13581410.0,6.8
202410,경남,13456359.0,14014399.0,-4.0
202411,경남,12554129.0,11906342.0,5.4
