기준년월,지역,방문자수,전년동월방문자수,방문자수증감률
202601,강원,11619538.0,12907489.0,-10.0
202601,경기,52168767.0,51400685.0,1.5
202601,경남,12572273.0,14223377.0,-11.6
202601,경북,13671004.0,15681267.0,-12.8
202601,광주,5800204.0,6005433.0,-3.4
202601,대구,9258032.0,9796276.0,-5.5
202601,대전,7477407.0,7260614.0,3.0
202601,부산,13501618.0,14167030.0,-4.7
202601,서울,51867977.0,48995110.0,5.9
202601,세종,2434946.0,2328333.0,4.6
202601,울산,4152330.0,4449204.0,-6.7
202601,인천,15184813.0,15377296.0,-1.2
202601,전남,9158874.0,11220489.0,-18.4
202601,전북,7421950.0,8679636.0,-14.5
202601,제주,5208343.0,4749304.0,9.7
202601,충남,12366858.0,13058787.0,-5.3
202601,충북,8585626.0,9164071.0,-6.3
202602,강원,11925144.0,9314914.0,28.0
202602,경기,51143432.0,46151301.0,10.8
202602,경남,13586156.0,10676880.0,27.2
202602,경북,15584940.0,11679854.0,33.4
202602,광주,5975620.0,4786684.0,24.8
202602,대구,9606625.0,7710644.0,24.6
202602,대전,7357077.0,6460640.0,13.9
202602,부산,13867021.0,11753406.0,18.0
202602,서울,48050072.0,48232079.0,-0.4
202602,세종,2384018.0,2115362.0,12.7
202602,울산,4048454.0,3724864.0,8.7
202602,인천,14869438.0,13275546.0,12.0
202602,전남,10932554.0,7731437.0,41.4
202602,전북,8586158.0,6129106.0,40.1
202602,제주,4500212.0,3724602.0,20.8
202602,충남,13689935.0,11578287.0,18.2
202602,충북,9434106.0,7716310.0,22.3
202603,강원,10677992.0,11053553.0,-3.4
202603,경기,63949837.0,58499192.0,9.3
202603,경남,14187078.0,14043614.0,1.0
202603,경북,16123824.0,15764598.0,2.3
202603,광주,6686421.0,6367256.0,5.0
202603,대구,10060274.0,9649934.0,4.2
202603,대전,8904182.0,8171160.0,9.0
202603,부산,14385486.0,13907002.0,3.4
202603,서울,62767366.0,57586168.0,9.0
202603,세종,2955348.0,2696484.0,9.6
202603,울산,4569730.0,4375780.0,4.4
202603,인천,16791901.0,16062410.0,4.5
202603,전남,11316778.0,11258317.0,0.5
202603,전북,8658598.0,8511468.0,1.7
202603,제주,4989341.0,4389290.0,13.7
202603,충남,15588769.0,14764428.0,5.6
202603,충북,10951574.0,10154876.0,7.8
202604,강원,10122224.0,9577078.0,5.7
202604,경기,50155360.0,48216364.0,4.0
202604,경남,12494944.0,12217548.0,2.3
202604,경북,14069688.0,13674644.0,2.9
202604,광주,5230718.0,4960490.0,5.4
202604,대구,8256580.0,7956084.0,3.8
202604,대전,6703844.0,6651666.0,0.8
202604,부산,11514954.0,10887390.0,5.8
202604,서울,48139308.0,46523312.0,3.5
202604,세종,2353071.0,2242636.0,4.9
202604,울산,3694152.0,3717553.0,-0.6
202604,인천,14065912.0,13153802.0,6.9
202604,전남,10277911.0,10244154.0,0.3
202604,전북,7672833.0,7384286.0,3.9
202604,제주,4707798.0,4488715.0,4.9
202604,충남,13398752.0,13381154.0,0.1
202604,충북,9488146.0,9296430.0,2.1
202605,강원,13980592.0,14326288.0,-2.4
202605,경기,58235650.0,64063209.0,-9.1
202605,경남,15099452.0,16480516.0,-8.4
202605,경북,17091490.0,17858897.0,-4.3
202605,광주,6282098.0,6777337.0,-7.3
202605,대구,9847859.0,10831156.0,-9.1
202605,대전,7861483.0,8580282.0,-8.4
202605,부산,14047618.0,14881668.0,-5.6
202605,서울,53082169.0,58571541.0,-9.4
202605,세종,2670850.0,2863542.0,-6.7
202605,울산,4350510.0,4965352.0,-12.4
202605,인천,16351674.0,17314686.0,-5.6
202605,전남,12319906.0,13199032.0,-6.7
202605,전북,9488616.0,10200606.0,-7.0
202605,제주,4807442.0,5287975.0,-9.1
202605,충남,16092556.0,16634100.0,-3.3
202605,충북,11130066.0,11701610.0,-4.9
202606,강원,11759258.0,12584078.0,-6.6
202606,경기,52284040.0,53838260.0,-2.9
202606,경남,12137640.0,13076816.0,-7.2
202606,경북,13932152.0,14884247.0,-6.4
202606,광주,5375489.0,5588569.0,-3.8
202606,대구,8289225.0,8905631.0,-6.9
202606,대전,6941806.0,7276700.0,-4.6
202606,부산,12015374.0,12654750.0,-5.0
202606,서울,51120335.0,51055210.0,0.1
202606,세종,2415112.0,2409796.0,0.2
202606,울산,3903140.0,4249840.0,-8.2
202606,인천,14507658.0,15115940.0,-4.0
202606,전남,9653175.0,10468944.0,-7.8
202606,전북,7413126.0,7956322.0,-6.8
202606,제주,4436632.0,4781322.0,-7.2
202606,충남,13727924.0,13540062.0,1.4
202606,충북,9729094.0,9968746.0,-2.4
202607,강원,14713128.0,15020740.0,-2.0
202607,경기,54606433.0,57472919.0,-5.0
202607,경남,13686183.0,14177586.0,-3.5
202607,경북,15322808.0,15742506.0,-2.7
202607,광주,0.0,6081985.0,-100.0
202607,대구,9150015.0,9441796.0,-3.1
202607,대전,7522263.0,7589477.0,-0.9
202607,부산,13783497.0,13879274.0,-0.7
202607,서울,51421223.0,54141650.0,-5.0
202607,세종,2503834.0,2489851.0,0.6
202607,울산,4278004.0,4603697.0,-7.1
202607,인천,15560391.0,15845417.0,-1.8
202607,전남,0.0,10972748.0,-100.0
202607,전북,8112234.0,8314058.0,-2.4
202607,제주,5181694.0,5423733.0,-4.5
202607,충남,14311955.0,13992657.0,2.3
202607,충북,10235732.0,10399942.0,-1.6
